粃 bi3  嘏 gu3/jia3  裢 lian2  噻 sai1  崖 yai2/ya2  
比 bi3/bi4  谷 gu3/yu4  蠊 lian2  塞 sai1/sai4/se4  龑 yan  
必 bi4  故 gu4  奁 lian2  赛 sai4  烟 yan1  
避 bi4  顾 gu4  連 lian2  簺 sai4  焉 yan1  
毕 bi4  固 gu4  鐮 lian2  三 san1  淹 yan1  
币 bi4  雇 gu4  蓮 lian2  叁 san1  嫣 yan1  
闭 bi4  锢 gu4  聯 lian2  毵 san1  阉 yan1  
壁 bi4  梏 gu4  簾 lian2  彡 san1  腌 yan1  
臂 bi4  崮 gu4  鎌 lian2  鬖 san1  胭 yan1  
蔽 bi4  痼 gu4  鬑 lian2  糂 san1  菸 yan1  
碧 bi4  顧 gu4  聫 lian2  伞 san3  恹 yan1  
弊 bi4  鲴 gu4  脸 lian3  馓 san3  鄢 yan1  
毙 bi4  鯝 gu4  敛 lian3  繖 san3  崦 yan1  
陛 bi4  祻 gu4  琏 lian3  散 san3/san4  硽 yan1  
庇 bi4  牿 gu4  裣 lian3  糁 san3/shen1  醃 yan1  
婢 bi4  頋 gu4  臉 lian3  桑 sang1  閹 yan1  
敝 bi4  瓜 gua1  羷 lian3  丧 sang1/sang4  奄 yan1/yan3  
痹 bi4  刮 gua1  练 lian4  嗓 sang3  燕 yan1/yan4  
璧 bi4  胍 gua1  恋 lian4  搡 sang3  咽 yan1/yan4/ye4  
弼 bi4  鸹 gua1  炼 lian4  颡 sang3  湮 yan1/yin1  
愎 bi4  栝 gua1  链 lian4  磉 sang3  殷 yan1/yin1/yin3  
蓖 bi4  緺 gua1  殓 lian4  骚 sao1  言 yan2  
跸 bi4  鴰 gua1  楝 lian4  搔 sao1  研 yan2  
毖 bi4  騧 gua1  練 lian4  缫 sao1  严 yan2  
哔 bi4  寡 gua3  潋 lian4  鰠 sao1  延 yan2  
薜 bi4  剐 gua3  鍊 lian4  騷 sao1  炎 yan2  
嬖 bi4  挂 gua4  鏈 lian4  鳋 sao1  岩 yan2  
畀 bi4  卦 gua4  稴 lian4  臊 sao1/sao4  颜 yan2  
铋 bi4  褂 gua4  良 liang2  艘 sao1/sou1  盐 yan2  
祕 bi4  诖 gua4  粮 liang2  嫂 sao3  阎 yan2  
篦 bi4  罣 gua4  梁 liang2  扫 sao3/sao4  檐 yan2  
髀 bi4  詿 gua4  凉 liang2  埽 sao4  蜒 yan2  
濞 bi4  絓 gua4  粱 liang2  瘙 sao4  筵 yan2  
閉 bi4  乖 guai1  椋 liang2  矂 sao4  妍 yan2  
萆 bi4  拐 guai3  辌 liang2  髞 sao4  闫 yan2  
襞 bi4  怪 guai4  墚 liang2  瑟 se4  硏 yan2  
荜 bi4  关 guan1  綡 liang2  涩 se4  顏 yan2  
筚 bi4  官 guan1  糧 liang2  啬 se4  鹽 yan2  
狴 bi4  棺 guan1  量 liang2/liang4  穑 se4  綖 yan2  
禆 bi4  倌 guan1  踉 liang2/liang4  铯 se4  麣 yan2  
鸊 bi4  關 guan1  两 liang3  繬 se4  簷 yan2  
邲 bi4  鳏 guan1  魉 liang3  穯 se4  閻 yan2  
閟 bi4  觀 guan1  裲 liang3  譅 se4  莚 yan2  
躄 bi4  蒄 guan1  蜽 liang3  鎍 se4  訮 yan2  
滗 bi4  窤 guan1  亮 liang4  銫 se4  沿 yan2/yan4  
苾 bi4  莞 guan1/guan3/wan3  辆 liang4  色 se4/shai3  眼 yan3  
庳 bi4  观 guan1/guan4  谅 liang4  森 sen1  演 yan3  
觱 bi4  冠 guan1/guan4  晾 liang4  僧 seng1  掩 yan3  
诐 bi4  管 guan3  諒 liang4  鬙 seng1  衍 yan3  
箅 bi4  馆 guan3  蹽 liao1  杀 sha1  俨 yan3  
鶝 bi4  鳤 guan3  撩 liao1/liao2  沙 sha1  偃 yan3  
綼 bi4  筦 guan3  疗 liao2  纱 sha1  魇 yan3  
袐 bi4  館 guan3  聊 liao2  砂 sha1  兖 yan3  
蜌 bi4  輨 guan3  辽 liao2  鲨 sha1  鼹 yan3  
鼊 bi4  錧 guan3  僚 liao2  铩 sha1  琰 yan3  
鴓 bi4  惯 guan4  寥 liao2  裟 sha1  厣 yan3  
詖 bi4  贯 guan4  缭 liao2  痧 sha1  郾 yan3  
髲 bi4  灌 guan4  燎 liao2  閷 sha1  罨 yan3  
篳 bi4  罐 guan4  寮 liao2  紗 sha1  龂 yan3  
罼 bi4  鹳 guan4  獠 liao2  繺 sha1  顩 yan3  
肸 bi4  盥 guan4  嘹 liao2  鯋 sha1  蝘 yan3  
繴 bi4  涫 guan4  鹩 liao2  蔱 sha1  菴 yan3  
赑 bi4  掼 guan4  豂 liao2  鯊 sha1  酀 yan3  
饆 bi4  祼 guan4  镠 liao2  煞 sha1/sha4  黡 yan3  
鉍 bi4  矔 guan4  膫 liao2  杉 sha1/shan1  齗 yan3  
駜 bi4  雚 guan4  繚 liao2  莎 sha1/suo1  鶠 yan3  
鷩 bi4  罆 guan4  鏐 liao2  啥 sha2  黶 yan3  
縪 bi4  貫 guan4  膋 liao2  傻 sha3  验 yan4  
驆 bi4  鏆 guan4  竂 liao2  繌 sha3  厌 yan4  
